banner,banner_characters,n_characters,is_rerun_banner,views_best_mean_banner,top_views_character,top_views_value,revenue,meta_relevance_mean_banner,top_meta_character,top_meta_value,dominant_character,dominant_reason,comments_demo__sum,comments_demo__mean,comments_demo__max,comments_teaser__sum,comments_teaser__mean,comments_teaser__max,engagement_score_demo__sum,engagement_score_demo__mean,engagement_score_demo__max,engagement_score_teaser__sum,engagement_score_teaser__mean,engagement_score_teaser__max,like_ratio_demo__sum,like_ratio_demo__mean,like_ratio_demo__max,like_ratio_teaser__sum,like_ratio_teaser__mean,like_ratio_teaser__max,likes_demo__sum,likes_demo__mean,likes_demo__max,likes_teaser__sum,likes_teaser__mean,likes_teaser__max,views_demo__sum,views_demo__mean,views_demo__max,views_teaser__sum,views_teaser__mean,views_teaser__max,views_best__sum,views_best__mean,views_best__max,likes_best__sum,likes_best__mean,likes_best__max,comments_best__sum,comments_best__mean,comments_best__max,like_ratio_best__sum,like_ratio_best__mean,like_ratio_best__max,engagement_score_best__sum,engagement_score_best__mean,engagement_score_best__max,relevance_main_dps__sum,relevance_main_dps__mean,relevance_main_dps__max,relevance_sub-dps__sum,relevance_sub-dps__mean,relevance_sub-dps__max,relevance_support__sum,relevance_support__mean,relevance_support__max,meta_relevance_max__sum,meta_relevance_max__mean,meta_relevance_max__max,meta_relevance_mean__sum,meta_relevance_mean__mean,meta_relevance_mean__max
Venti,venti,1.0,0,4593318.0,venti,4593318.0,30632752.0,2.216666666666667,venti,2.216666666666667,venti,meta,9100.0,9100.0,9100.0,8400.0,8400.0,8400.0,0.042206744666927,0.042206744666927,0.042206744666927,0.0563611987839497,0.0563611987839497,0.0563611987839497,0.0402256059780751,0.0402256059780751,0.0402256059780751,0.0537675511211042,0.0537675511211042,0.0537675511211042,184769.0,184769.0,184769.0,174136.0,174136.0,174136.0,4593318.0,4593318.0,4593318.0,3238682.0,3238682.0,3238682.0,4593318.0,4593318.0,4593318.0,184769.0,184769.0,184769.0,9100.0,9100.0,9100.0,0.0537675511211042,0.0537675511211042,0.0537675511211042,0.0563611987839497,0.0563611987839497,0.0563611987839497,2.85,2.85,2.85,2.85,2.85,2.85,0.95,0.95,0.95,2.85,2.85,2.85,2.216666666666667,2.216666666666667,2.216666666666667
Klee,klee,1.0,0,14247890.0,klee,14247890.0,22750080.0,2.5,klee,2.5,klee,meta,15000.0,15000.0,15000.0,5400.0,5400.0,5400.0,0.0253456476713394,0.0253456476713394,0.0253456476713394,0.0082075855328513,0.0082075855328513,0.0082075855328513,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0077700680169591,0.0077700680169591,0.0077700680169591,346122.0,346122.0,346122.0,95901.0,95901.0,95901.0,14247890.0,14247890.0,14247890.0,12342363.0,12342363.0,12342363.0,14247890.0,14247890.0,14247890.0,346122.0,346122.0,346122.0,15000.0,15000.0,15000.0,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0253456476713394,0.0253456476713394,0.0253456476713394,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Tartaglia,tartaglia,1.0,0,161981.0,tartaglia,161981.0,13443619.0,1.9,tartaglia,1.9,tartaglia,meta,0.0,,,546.0,546.0,546.0,0.0,,,0.0956470203295448,0.0956470203295448,0.0956470203295448,0.0,,,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0,,,14947.0,14947.0,14947.0,0.0,,,161981.0,161981.0,161981.0,161981.0,161981.0,161981.0,14947.0,14947.0,14947.0,546.0,546.0,546.0,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0956470203295448,0.0956470203295448,0.0956470203295448,1.9,1.9,1.9,0.0,,,0.0,,,1.9,1.9,1.9,1.9,1.9,1.9
Zhongli,zhongli,1.0,0,35127330.0,zhongli,35127330.0,16264892.0,3.5,zhongli,3.5,zhongli,meta,60000.0,60000.0,60000.0,4700.0,4700.0,4700.0,0.0188337115288864,0.0188337115288864,0.0188337115288864,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0171256397796245,0.0171256397796245,0.0171256397796245,0.03382884657264,0.03382884657264,0.03382884657264,601578.0,601578.0,601578.0,84505.0,84505.0,84505.0,35127330.0,35127330.0,35127330.0,2498016.0,2498016.0,2498016.0,35127330.0,35127330.0,35127330.0,601578.0,601578.0,601578.0,60000.0,60000.0,60000.0,0.03382884657264,0.03382884657264,0.03382884657264,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0,,,0.0,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Albedo,albedo,1.0,0,8203682.0,albedo,8203682.0,11816107.0,2.5,albedo,2.5,albedo,meta,13000.0,13000.0,13000.0,8400.0,8400.0,8400.0,0.0302631184387693,0.0302631184387693,0.0302631184387693,0.0400414577222239,0.0400414577222239,0.0400414577222239,0.0286784641335439,0.0286784641335439,0.0286784641335439,0.0381723890946965,0.0381723890946965,0.0381723890946965,235269.0,235269.0,235269.0,171555.0,171555.0,171555.0,8203682.0,8203682.0,8203682.0,4494217.0,4494217.0,4494217.0,8203682.0,8203682.0,8203682.0,235269.0,235269.0,235269.0,13000.0,13000.0,13000.0,0.0381723890946965,0.0381723890946965,0.0381723890946965,0.0400414577222239,0.0400414577222239,0.0400414577222239,0.0,,,2.5,2.5,2.5,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Ganyu,ganyu,1.0,0,8504740.0,ganyu,8504740.0,15669918.0,1.95,ganyu,1.95,ganyu,meta,14000.0,14000.0,14000.0,7600.0,7600.0,7600.0,0.0287962947720917,0.0287962947720917,0.0287962947720917,0.0303543143275595,0.0303543143275595,0.0303543143275595,0.0271501539141702,0.0271501539141702,0.0271501539141702,0.0286487005691812,0.0286487005691812,0.0286487005691812,230905.0,230905.0,230905.0,127655.0,127655.0,127655.0,8504740.0,8504740.0,8504740.0,4455874.0,4455874.0,4455874.0,8504740.0,8504740.0,8504740.0,230905.0,230905.0,230905.0,14000.0,14000.0,14000.0,0.0286487005691812,0.0286487005691812,0.0286487005691812,0.0303543143275595,0.0303543143275595,0.0303543143275595,2.0,2.0,2.0,1.9,1.9,1.9,0.0,,,2.0,2.0,2.0,1.95,1.95,1.95
Xiao,xiao,1.0,0,14156109.0,xiao,14156109.0,13145115.0,2.5,xiao,2.5,xiao,meta,21000.0,21000.0,21000.0,5800.0,5800.0,5800.0,0.0281482008933387,0.0281482008933387,0.0281482008933387,0.0171900190290355,0.0171900190290355,0.0171900190290355,0.0266647424090899,0.0266647424090899,0.0266647424090899,0.0164399279188308,0.0164399279188308,0.0164399279188308,377469.0,377469.0,377469.0,127120.0,127120.0,127120.0,14156109.0,14156109.0,14156109.0,7732394.0,7732394.0,7732394.0,14156109.0,14156109.0,14156109.0,377469.0,377469.0,377469.0,21000.0,21000.0,21000.0,0.0266647424090899,0.0266647424090899,0.0266647424090899,0.0281482008933387,0.0281482008933387,0.0281482008933387,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Keqing,keqing,1.0,0,10862210.0,keqing,10862210.0,9505798.0,1.5,keqing,1.5,keqing,meta,3700.0,3700.0,3700.0,5600.0,5600.0,5600.0,0.0141494107306769,0.0141494107306769,0.0141494107306769,0.0080756126055379,0.0080756126055379,0.0080756126055379,0.0136071360996472,0.0136071360996472,0.0136071360996472,0.0075600637439342,0.0075600637439342,0.0075600637439342,92843.0,92843.0,92843.0,82119.0,82119.0,82119.0,6823111.0,6823111.0,6823111.0,10862210.0,10862210.0,10862210.0,10862210.0,10862210.0,10862210.0,92843.0,92843.0,92843.0,5600.0,5600.0,5600.0,0.0136071360996472,0.0136071360996472,0.0136071360996472,0.0141494107306769,0.0141494107306769,0.0141494107306769,1.5,1.5,1.5,0.0,,,0.0,,,1.5,1.5,1.5,1.5,1.5,1.5
Hu Tao,hu tao,1.0,0,21330822.0,hu tao,21330822.0,12481634.0,2.5,hu tao,2.5,hu tao,meta,24000.0,24000.0,24000.0,23000.0,23000.0,23000.0,0.0225071963940255,0.0225071963940255,0.0225071963940255,0.0361249714488721,0.0361249714488721,0.0361249714488721,0.02138206394484,0.02138206394484,0.02138206394484,0.0340760605608172,0.0340760605608172,0.0340760605608172,456097.0,456097.0,456097.0,382520.0,382520.0,382520.0,21330822.0,21330822.0,21330822.0,11225476.0,11225476.0,11225476.0,21330822.0,21330822.0,21330822.0,456097.0,456097.0,456097.0,24000.0,24000.0,24000.0,0.0340760605608172,0.0340760605608172,0.0340760605608172,0.0361249714488721,0.0361249714488721,0.0361249714488721,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Venti (Rerun),venti,1.0,1,4593318.0,venti,4593318.0,16614209.0,2.216666666666667,venti,2.216666666666667,venti,meta,9100.0,9100.0,9100.0,8400.0,8400.0,8400.0,0.042206744666927,0.042206744666927,0.042206744666927,0.0563611987839497,0.0563611987839497,0.0563611987839497,0.0402256059780751,0.0402256059780751,0.0402256059780751,0.0537675511211042,0.0537675511211042,0.0537675511211042,184769.0,184769.0,184769.0,174136.0,174136.0,174136.0,4593318.0,4593318.0,4593318.0,3238682.0,3238682.0,3238682.0,4593318.0,4593318.0,4593318.0,184769.0,184769.0,184769.0,9100.0,9100.0,9100.0,0.0537675511211042,0.0537675511211042,0.0537675511211042,0.0563611987839497,0.0563611987839497,0.0563611987839497,2.85,2.85,2.85,2.85,2.85,2.85,0.95,0.95,0.95,2.85,2.85,2.85,2.216666666666667,2.216666666666667,2.216666666666667
Tartaglia (Rerun),tartaglia,1.0,1,161981.0,tartaglia,161981.0,6965445.0,1.9,tartaglia,1.9,tartaglia,meta,0.0,,,546.0,546.0,546.0,0.0,,,0.0956470203295448,0.0956470203295448,0.0956470203295448,0.0,,,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0,,,14947.0,14947.0,14947.0,0.0,,,161981.0,161981.0,161981.0,161981.0,161981.0,161981.0,14947.0,14947.0,14947.0,546.0,546.0,546.0,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0956470203295448,0.0956470203295448,0.0956470203295448,1.9,1.9,1.9,0.0,,,0.0,,,1.9,1.9,1.9,1.9,1.9,1.9
Zhongli (Rerun),zhongli,1.0,1,35127330.0,zhongli,35127330.0,10215165.0,3.5,zhongli,3.5,zhongli,meta,60000.0,60000.0,60000.0,4700.0,4700.0,4700.0,0.0188337115288864,0.0188337115288864,0.0188337115288864,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0171256397796245,0.0171256397796245,0.0171256397796245,0.03382884657264,0.03382884657264,0.03382884657264,601578.0,601578.0,601578.0,84505.0,84505.0,84505.0,35127330.0,35127330.0,35127330.0,2498016.0,2498016.0,2498016.0,35127330.0,35127330.0,35127330.0,601578.0,601578.0,601578.0,60000.0,60000.0,60000.0,0.03382884657264,0.03382884657264,0.03382884657264,0.0357103397256062,0.0357103397256062,0.0357103397256062,0.0,,,0.0,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Eula,eula,1.0,0,25160120.0,eula,25160120.0,12619390.0,1.5,eula,1.5,eula,meta,28000.0,28000.0,28000.0,14000.0,14000.0,14000.0,0.0157846226488585,0.0157846226488585,0.0157846226488585,0.0287038099312311,0.0287038099312311,0.0287038099312311,0.0146717503732096,0.0146717503732096,0.0146717503732096,0.0271755889845397,0.0271755889845397,0.0271755889845397,369143.0,369143.0,369143.0,248955.0,248955.0,248955.0,25160120.0,25160120.0,25160120.0,9160979.0,9160979.0,9160979.0,25160120.0,25160120.0,25160120.0,369143.0,369143.0,369143.0,28000.0,28000.0,28000.0,0.0271755889845397,0.0271755889845397,0.0271755889845397,0.0287038099312311,0.0287038099312311,0.0287038099312311,1.5,1.5,1.5,0.0,,,0.0,,,1.5,1.5,1.5,1.5,1.5,1.5
Klee (Rerun),klee,1.0,1,14247890.0,klee,14247890.0,7006180.0,2.5,klee,2.5,klee,meta,15000.0,15000.0,15000.0,5400.0,5400.0,5400.0,0.0253456476713394,0.0253456476713394,0.0253456476713394,0.0082075855328513,0.0082075855328513,0.0082075855328513,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0077700680169591,0.0077700680169591,0.0077700680169591,346122.0,346122.0,346122.0,95901.0,95901.0,95901.0,14247890.0,14247890.0,14247890.0,12342363.0,12342363.0,12342363.0,14247890.0,14247890.0,14247890.0,346122.0,346122.0,346122.0,15000.0,15000.0,15000.0,0.0242928602059673,0.0242928602059673,0.0242928602059673,0.0253456476713394,0.0253456476713394,0.0253456476713394,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Kazuha,kazuha,1.0,0,18832425.0,kazuha,18832425.0,9807112.0,4.0,kazuha,4.0,kazuha,meta,23000.0,23000.0,23000.0,24000.0,24000.0,24000.0,0.0213463746702827,0.0213463746702827,0.0213463746702827,0.0583362230133354,0.0583362230133354,0.0583362230133354,0.0201250768289267,0.0201250768289267,0.0201250768289267,0.0549142335370937,0.0549142335370937,0.0549142335370937,379004.0,379004.0,379004.0,385139.0,385139.0,385139.0,18832425.0,18832425.0,18832425.0,7013464.0,7013464.0,7013464.0,18832425.0,18832425.0,18832425.0,385139.0,385139.0,385139.0,24000.0,24000.0,24000.0,0.0549142335370937,0.0549142335370937,0.0549142335370937,0.0583362230133354,0.0583362230133354,0.0583362230133354,0.0,,,0.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Ayaka,ayaka,1.0,0,15822985.0,ayaka,15822985.0,16451006.0,2.5,ayaka,2.5,ayaka,meta,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,0.0184858925164878,0.0184858925164878,0.0184858925164878,0.0572560390632558,0.0572560390632558,0.0572560390632558,0.0174747053100284,0.0174747053100284,0.0174747053100284,0.0539125841166247,0.0539125841166247,0.0539125841166247,276502.0,276502.0,276502.0,257997.0,257997.0,257997.0,15822985.0,15822985.0,15822985.0,4785469.0,4785469.0,4785469.0,15822985.0,15822985.0,15822985.0,276502.0,276502.0,276502.0,16000.0,16000.0,16000.0,0.0539125841166247,0.0539125841166247,0.0539125841166247,0.0572560390632558,0.0572560390632558,0.0572560390632558,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Yoimiya,yoimiya,1.0,0,12431567.0,yoimiya,12431567.0,8615144.0,2.0,yoimiya,2.0,yoimiya,meta,15000.0,15000.0,15000.0,11000.0,11000.0,11000.0,0.0241355735765249,0.0241355735765249,0.0241355735765249,0.0244330610830145,0.0244330610830145,0.0244330610830145,0.0229289678445203,0.0229289678445203,0.0229289678445203,0.02310642269063,0.02310642269063,0.02310642269063,285043.0,285043.0,285043.0,191590.0,191590.0,191590.0,12431567.0,12431567.0,12431567.0,8291634.0,8291634.0,8291634.0,12431567.0,12431567.0,12431567.0,285043.0,285043.0,285043.0,15000.0,15000.0,15000.0,0.02310642269063,0.02310642269063,0.02310642269063,0.0244330610830145,0.0244330610830145,0.0244330610830145,2.0,2.0,2.0,0.0,,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0
Raiden,raiden,1.0,0,20558966.0,raiden,20558966.0,33020905.0,3.425,raiden,3.425,raiden,meta,30000.0,30000.0,30000.0,1100.0,1100.0,1100.0,0.0318362800930747,0.0318362800930747,0.0318362800930747,0.0639106015457104,0.0639106015457104,0.0639106015457104,0.0303770627374937,0.0303770627374937,0.0303770627374937,0.0619745033468097,0.0619745033468097,0.0619745033468097,624521.0,624521.0,624521.0,35211.0,35211.0,35211.0,20558966.0,20558966.0,20558966.0,568153.0,568153.0,568153.0,20558966.0,20558966.0,20558966.0,624521.0,624521.0,624521.0,30000.0,30000.0,30000.0,0.0619745033468097,0.0619745033468097,0.0619745033468097,0.0639106015457104,0.0639106015457104,0.0639106015457104,2.85,2.85,2.85,4.0,4.0,4.0,0.0,,,4.0,4.0,4.0,3.425,3.425,3.425
Kokomi,kokomi,1.0,0,9907253.0,kokomi,9907253.0,7020975.0,2.45,kokomi,2.45,kokomi,meta,14000.0,14000.0,14000.0,15000.0,15000.0,15000.0,0.027861204311629,0.027861204311629,0.027861204311629,0.0375180752683289,0.0375180752683289,0.0375180752683289,0.0264480981761543,0.0264480981761543,0.0264480981761543,0.0356314681538832,0.0356314681538832,0.0356314681538832,262028.0,262028.0,262028.0,283298.0,283298.0,283298.0,9907253.0,9907253.0,9907253.0,7950781.0,7950781.0,7950781.0,9907253.0,9907253.0,9907253.0,283298.0,283298.0,283298.0,15000.0,15000.0,15000.0,0.0356314681538832,0.0356314681538832,0.0356314681538832,0.0375180752683289,0.0375180752683289,0.0375180752683289,0.0,,,1.9,1.9,1.9,3.0,3.0,3.0,3.0,3.0,3.0,2.45,2.45,2.45
Tartaglia (2nd Rerun),tartaglia,1.0,1,161981.0,tartaglia,161981.0,7785438.0,1.9,tartaglia,1.9,tartaglia,meta,0.0,,,546.0,546.0,546.0,0.0,,,0.0956470203295448,0.0956470203295448,0.0956470203295448,0.0,,,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0,,,14947.0,14947.0,14947.0,0.0,,,161981.0,161981.0,161981.0,161981.0,161981.0,161981.0,14947.0,14947.0,14947.0,546.0,546.0,546.0,0.0922762546224557,0.0922762546224557,0.0922762546224557,0.0956470203295448,0.0956470203295448,0.0956470203295448,1.9,1.9,1.9,0.0,,,0.0,,,1.9,1.9,1.9,1.9,1.9,1.9
Hu Tao (Rerun),hu tao,1.0,1,21330822.0,hu tao,21330822.0,25226952.0,2.5,hu tao,2.5,hu tao,meta,24000.0,24000.0,24000.0,23000.0,23000.0,23000.0,0.0225071963940255,0.0225071963940255,0.0225071963940255,0.0361249714488721,0.0361249714488721,0.0361249714488721,0.02138206394484,0.02138206394484,0.02138206394484,0.0340760605608172,0.0340760605608172,0.0340760605608172,456097.0,456097.0,456097.0,382520.0,382520.0,382520.0,21330822.0,21330822.0,21330822.0,11225476.0,11225476.0,11225476.0,21330822.0,21330822.0,21330822.0,456097.0,456097.0,456097.0,24000.0,24000.0,24000.0,0.0340760605608172,0.0340760605608172,0.0340760605608172,0.0361249714488721,0.0361249714488721,0.0361249714488721,2.5,2.5,2.5,0.0,,,0.0,,,2.5,2.5,2.5,2.5,2.5,2.5
Albedo & Eula (Rerun),"albedo, eula",2.0,1,16681901.0,eula,25160120.0,17026066.0,2.0,albedo,2.5,albedo,meta,41000.0,20500.0,28000.0,22400.0,11200.0,14000.0,0.0460477410876278,0.0230238705438139,0.0302631184387693,0.068745267653455,0.0343726338267275,0.0400414577222239,0.0433502145067535,0.02167510725337675,0.0286784641335439,0.0653479780792362,0.0326739890396181,0.0381723890946965,604412.0,302206.0,369143.0,420510.0,210255.0,248955.0,33363802.0,16681901.0,25160120.0,13655196.0,6827598.0,9160979.0,33363802.0,16681901.0,25160120.0,604412.0,302206.0,369143.0,41000.0,20500.0,28000.0,0.0653479780792362,0.0326739890396181,0.0381723890946965,0.068745267653455,0.0343726338267275,0.0400414577222239,1.5,1.5,1.5,2.5,2.5,2.5,0.0,,,4.0,2.0,2.5,4.0,2.0,2.5
Itto,itto,1.0,0,8152775.0,itto,8152775.0,13404072.0,2.0,itto,2.0,itto,meta,12000.0,12000.0,12000.0,11000.0,11000.0,11000.0,0.0423010570020637,0.0423010570020637,0.0423010570020637,0.0664956919023087,0.0664956919023087,0.0664956919023087,0.0408291655295282,0.0408291655295282,0.0408291655295282,0.0642054795205044,0.0642054795205044,0.0642054795205044,332871.0,332871.0,332871.0,308382.0,308382.0,308382.0,8152775.0,8152775.0,8152775.0,4803048.0,4803048.0,4803048.0,8152775.0,8152775.0,8152775.0,332871.0,332871.0,332871.0,12000.0,12000.0,12000.0,0.0642054795205044,0.0642054795205044,0.0642054795205044,0.0664956919023087,0.0664956919023087,0.0664956919023087,2.0,2.0,2.0,0.0,,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0
Shenhe & Xiao (Rerun),"shenhe, xiao",2.0,1,10483869.0,xiao,14156109.0,16994406.0,3.0,shenhe,3.5,shenhe,meta,35000.0,17500.0,21000.0,16800.0,8400.0,11000.0,0.0796213507081627,0.03981067535408135,0.051473149814824,0.08084739971203439,0.040423699856017195,0.0636573806829989,0.0760825835745438,0.0380412917872719,0.0494178411654539,0.0778295516525977,0.03891477582629885,0.0613896237337669,714085.0,357042.5,377469.0,424897.0,212448.5,297777.0,20967738.0,10483869.0,14156109.0,12583002.0,6291501.0,7732394.0,20967738.0,10483869.0,14156109.0,714085.0,357042.5,377469.0,35000.0,17500.0,21000.0,0.0880543661428568,0.0440271830714284,0.0613896237337669,0.09180558157633759,0.04590279078816879,0.0636573806829989,2.5,2.5,2.5,0.0,,,3.5,3.5,3.5,6.0,3.0,3.5,6.0,3.0,3.5
Zhongli & Ganyu (2nd & 1st Rerun),"zhongli, ganyu",2.0,1,21816035.0,zhongli,35127330.0,26780298.0,2.725,zhongli,3.5,zhongli,meta,74000.0,37000.0,60000.0,12300.0,6150.0,7600.0,0.0476300063009781,0.02381500315048905,0.0287962947720917,0.0660646540531657,0.03303232702658285,0.0357103397256062,0.044275793693794696,0.022137896846897348,0.0271501539141702,0.0624775471418212,0.0312387735709106,0.03382884657264,832483.0,416241.5,601578.0,212160.0,106080.0,127655.0,43632070.0,21816035.0,35127330.0,6953890.0,3476945.0,4455874.0,43632070.0,21816035.0,35127330.0,832483.0,416241.5,601578.0,74000.0,37000.0,60000.0,0.0624775471418212,0.0312387735709106,0.03382884657264,0.0660646540531657,0.03303232702658285,0.0357103397256062,2.0,2.0,2.0,1.9,1.9,1.9,3.5,3.5,3.5,5.5,2.75,3.5,5.45,2.725,3.5
Yae Miko,yae miko,1.0,0,7167009.0,yae miko,7167009.0,15110264.0,3.0,yae miko,3.0,yae miko,meta,10000.0,10000.0,10000.0,8000.0,8000.0,8000.0,0.0490309137326324,0.0490309137326324,0.0490309137326324,0.075486810488583,0.075486810488583,0.075486810488583,0.0476356315444839,0.0476356315444839,0.0476356315444839,0.0735769305603468,0.0735769305603468,0.0735769305603468,341405.0,341405.0,341405.0,308195.0,308195.0,308195.0,7167009.0,7167009.0,7167009.0,4188745.0,4188745.0,4188745.0,7167009.0,7167009.0,7167009.0,341405.0,341405.0,341405.0,10000.0,10000.0,10000.0,0.0735769305603468,0.0735769305603468,0.0735769305603468,0.075486810488583,0.075486810488583,0.075486810488583,0.0,,,3.0,3.0,3.0,0.0,,,3.0,3.0,3.0,3.0,3.0,3.0
Shougun & Kokomi (Rerun),"raiden, kokomi",2.0,1,15233109.5,raiden,20558966.0,33560259.0,2.9375,raiden,3.425,raiden,meta,44000.0,22000.0,30000.0,16100.0,8050.0,15000.0,0.0596974844047037,0.02984874220235185,0.0318362800930747,0.1014286768140393,0.05071433840701965,0.0639106015457104,0.056825160913648004,0.028412580456824002,0.0303770627374937,0.09760597150069289,0.048802985750346445,0.0619745033468097,886549.0,443274.5,624521.0,318509.0,159254.5,283298.0,30466219.0,15233109.5,20558966.0,8518934.0,4259467.0,7950781.0,30466219.0,15233109.5,20558966.0,907819.0,453909.5,624521.0,45000.0,22500.0,30000.0,0.09760597150069289,0.048802985750346445,0.0619745033468097,0.1014286768140393,0.05071433840701965,0.0639106015457104,2.85,2.85,2.85,5.9,2.95,4.0,3.0,3.0,3.0,7.0,3.5,4.0,5.875,2.9375,3.425
